Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.1,#DIV/0!,0,36,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.043478261,0.075,0.00326087,0.040217391,600,0,0,0,0,5
5,0.15,#DIV/0!,0,30.2,6.2,39.1,500,577.5,0,0,0,0,0,0,0,0,0.065217391,0.1,0.006521739,0.058695652,597.4134199,-2.22E-16,0.6,0,0.703584229,4.92
10,24.5,#DIV/0!,-1.78E-15,8.55,6.59,22.9,1349,558,0,0,-3.47E-18,0,0,4.44E-16,4,3,6.125,0.165,1.010625,5.114375,597.9313411,1.571428571,1.142857143,2.80134474,2.20505747,4.69
23,81.14285714,#DIV/0!,20.42857143,1.799285714,6.915,25.87142857,1582.071429,568.2142857,7.957857143,0.083571429,0.037142857,0.334285714,0.352857143,4.522142857,12.35714286,17.85714286,20.28571429,0.19,3.854285715,16.43142857,627.7288555,3.826530612,0.63877551,6.500560707,2.069312121,2.19
28,116.3,#DIV/0!,38,1.024,6.94,24.82,1600,569.4,9.858,0.082,0.04,0.352,0.332,5.75,17.8,21.4,29.075,0.255526316,7.429427638,21.64557236,646.9969158,3.873684211,4.162105263,7.838869806,7.950950322,1.85
34,144.5263158,#DIV/0!,61.21052632,0.875789474,6.94,24.65789474,1600,606.2105263,23.76684211,0.140526316,0.068947368,0.597368421,0.541052632,16.03052632,24,47.26315789,36.13157895,0.418947368,15.1372299,20.99434905,694.3986109,3.532779317,4.565096953,7.379048758,8.529924083,1.58
47.5,199.9473684,#DIV/0!,113.0789474,0.648421053,6.94,25.08421053,1600,705.3289474,60.45131579,0.303947368,0.147105263,1.265263158,1.137894737,43.19394737,37.5,115.4736842,49.98684211,0.446875,22.33787007,27.64897204,810.9244256,2.697599261,3.248753463,5.426247962,6.115999134,1.21
55,216.9333333,#DIV/0!,133.6666667,5.932,6.94,25.28666667,1600,727.9,73.85933333,0.356666667,0.178,1.346,1.290666667,55.30666667,42.66666667,140.4,54.23333333,0.5,27.11666667,27.11666667,853.8371455,1.874747475,2.136565657,-0.042368362,0.088988018,1.09
72,212,#DIV/0!,165,11.86,6.94,25,1600,635,93,0.4,0.19,1.29,1.6,71.87,45,176,53,0.511111111,27.08888888,25.91111112,780.0054877,1.333333333,1.666666667,15.75191228,17.16872264,0.94
80,207.5555556,#DIV/0!,174.6666667,14.52444444,6.95,25.01111111,1600,631.3333333,99.93333333,0.414444444,0.202222222,1.25,1.732222222,78.00666667,45,188.8888889,51.88888889,0.531944444,27.60200615,24.28688274,963.1956178,0.814814815,1.358024691,1.355504855,1.968337831,0.88
95,196.7222222,#DIV/0!,187.1666667,20.63277778,6.95,24.34444444,1600,641.3333333,111.5833333,0.447777778,0.218888889,1.175,1.973888889,88.10666667,45,210.5555556,49.18055556,0.541666667,26.63946761,22.54108795,990.6930217,0.675925926,0.709876543,-1.190098663,-1.389273816,0.78
102,193,#DIV/0!,192,12.11,6.95,24.4,1600,597,114.51,0.44,0.21,1.12,2.04,90.63,44,216,48.25,0.566666667,27.34166668,20.90833332,966.688661,0.722222222,0.5,1.957627119,1.855932203,0.74
120,185,#DIV/0!,205,16.96,6.95,24.9,1600,590,119.35,0.44,0.22,0.99,2.16,94.97,44,225,46.25,0.594444444,27.49305554,18.75694447,1013.332729,0.625,0.583333333,0.976073674,0.964727007,0.72
140,173.3333333,#DIV/0!,217.5,16.64333333,6.95,26.56666667,1600,587.5,125.625,0.44,0.22,0.898333333,2.343333333,100.345,43.16666667,236.6666667,43.33333333,0.6,26,17.33333333,1027.982076,0.104166667,0.097222222,0.162678946,0.160787834,0.72
