Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.15,0,0,30,6.23,98.5,499,600,0,0,0,0,0,0,0,0,0.0375,0.05,0.001875,0.035625,600,0,0,0,0,5.00
5,1.7,0,0,25.31,6.26,98,500,582.5,0,0,0,0,0,0,0,0,0.425,0.075,0.031875,0.393125,597.4356223,0,0.25,8.88E-16,-0.006619594,4.99
10,5.948571429,1.142857143,2.928571429,14.99357143,6.949285714,75.47142857,1041.928571,570.7142857,1.545,0.02,0.01,0.067142857,0.120714286,0.96633495,0.571428571,3.857142857,1.487142857,0.1,0.203778571,1.283364286,601.821614,3.338435374,2.772108844,6.277584535,5.577667711,4.80
23,50,16,41,11.27,6.94,25.7,1600,625.5,21.63,0.28,0.14,0.94,1.69,13.5286893,8,41,12.5,0.165,2.0625,10.4375,672.1837243,8.666666667,1.666666667,14.63369976,5.763435656,2.57
28,137.5,7,80.5,21.305,6.96,26.45,1019,654,29.58,0.255,0.125,1.05,1.105,19.92336,26.5,55,34.375,0.19,6.73,27.645,724.357915,6.244565217,3.141304348,12.29713153,6.660384189,1.66
34,224.6521739,6,116.9565217,24.14565217,6.96,28.54782609,1136.391304,676.0869565,38.73869565,0.269565217,0.134782609,1.147826087,0.610434783,27.73007554,44.91304348,71.13043478,56.16304348,0.241847826,13.96317935,42.19986413,778.9482997,5.253098089,1.781768536,10.35305725,4.164490306,1.21
47.5,250.4782609,6,194.4347826,19.20347826,6.96,43.22173913,1465.086957,703.3804348,52.40304348,0.234347826,0.117173913,1.10673913,0.780652174,40.78136436,51.36956522,95.19565217,62.61956522,0.383084239,24.47015965,38.14940557,888.9989508,3.61273892,1.778932997,7.139979319,3.475758895,0.77
55,260.4444444,5.555555556,231.8888889,17.55222222,6.96,46.24444444,1599,721.2777778,59.98888889,0.223333333,0.111111111,1.087777778,0.866666667,48.15367583,55.22222222,108.5555556,65.11111111,0.446875,29.08958333,36.02152778,942.4421812,2.789001122,1.762065095,5.582946549,3.141442734,0.64
72,255.8181818,1.909090909,280.5454545,20.73181818,6.958181818,22.81818182,1599,767.7272727,77.06909091,0.251818182,0.120909091,1.068181818,1.021818182,65.43991818,64.54545455,138.6363636,63.95454545,0.498421717,31.87563131,32.07891414,1014.433209,1.502860776,1.564526383,3.455740613,2.588168003,0.48
80,254.3636364,1.181818182,292.9090909,22.98636364,6.943636364,24.56363636,1599,705.5454545,84.50181818,0.266363636,0.128181818,1.053636364,1.196363636,72.20219404,60.90909091,151.7272727,63.59090909,0.510795455,32.48068182,31.11022727,1039.463512,1.162110617,0.989828353,2.310158426,1.600170632,0.42
95,247,0.8,310,19.4,6.94,23.6,1600,693.5,92.6,0.28,0.13,0.97,1.34,79.8218446,60,166,61.75,0.531944444,32.84756944,28.90243056,1064.621231,0.888888889,1.444444444,2.08724449,2.118990522,0.34
102,242.3333333,0.8,316.2222222,23.42888889,6.947777778,24.53333333,1600,694.6666667,98.34777778,0.295555556,0.137777778,0.962222222,1.425555556,85.00031424,60,176.1111111,60.58333333,0.541666667,32.81273148,27.77060185,1077.731543,0.770630279,1.05782976,1.627326205,1.558053443,0.31
120,225,0.8,329.7894737,27.20736842,6.95,28.50526316,1600,701.3157895,108.5963158,0.316842105,0.148421053,0.909473684,1.635263158,94.42050311,58.31578947,194.1578947,56.25,0.566666667,31.85833333,24.39166667,1100.829285,0.747922438,0.781163435,1.401597753,1.178420283,0.24
140,207.55,0.8,344.75,24.7335,6.95,28.01,1260,706.75,117.4435,0.3285,0.1585,0.8405,1.789,102.9047732,58,209.75,51.8875,0.594444444,30.82918403,21.05831597,1121.818198,0.7925,0.6225,1.372204593,0.977439033,0.18
