Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.214,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.0535,0.05,0.002675,0.050825,600,0,0,0,2.22E-16,5.00
5,1.45,0,0,24,6.2,52.4,500,582.5,0,0,0,-2.78E-17,0,2.22E-16,8.88E-16,0,0.3625,0.075,0.0271875,0.3353125,597.4356223,0.457142857,1.028571429,1.721359002,3.873057754,4.97
10,35.03571429,1.142857143,2.285714286,19.93142857,6.414285714,46.02857143,814.2857143,598.2857143,2.242857143,0.074285714,0.037142857,0.1,0.074285714,1.431428571,5.428571429,5.142857143,8.758928571,0.1,1.400669643,7.358258929,617.9791347,2.656200942,1.130298273,4.611055243,3.62764397,4.78
23,122.8461538,4.615384615,12.07692308,9.353846154,6.949230769,29.33846154,1600,639.1923077,8.215384615,0.249230769,0.124615385,0.356153846,0.262307692,5.27,19.76923077,18.69230769,30.71153846,0.165,5.09625,25.61528846,671.9933874,8.065088757,1.374260355,11.81048037,3.003219696,2.16
28,161.3076923,10.76923077,52.84615385,5.292307692,6.941538462,21.72307692,1600,653.6153846,11.86923077,0.141538462,0.070769231,0.417692308,0.285384615,7.87,27.46153846,25.61538462,40.32692308,0.19,7.715,32.61192308,698.5481065,7.177514793,1.270710059,11.56232568,2.894321556,1.45
34,197.8333333,4.833333333,90.75,9.31,6.94,25.85,1600,666.9166667,16.25166667,0.115,0.0525,0.4725,0.320833333,11.18083333,34.83333333,33.91666667,49.45833333,0.27296875,13.63729167,35.82104167,731.1252717,1.782738095,1.983134921,3.620093386,2.917628252,1.29
47.5,241.4285714,2.285714286,115.3571429,8.814285714,6.94,30.09285714,1600,685.1785714,30.96214286,0.184285714,0.087142857,0.649285714,0.493571429,21.91285714,44.71428571,61.78571429,60.35714286,0.4234375,25.5625,34.79464286,769.3136974,1.516439909,2.518707483,3.333671308,3.72418109,1.05
55,244.6666667,1,126.1666667,12.26666667,6.94,29.2,1600,695,40.84,0.23,0.11,0.738333333,0.638333333,29.51,46.5,80.5,61.16666667,0.446875,27.34166667,33.825,791.7486741,0.636574074,2.243055556,2.060470404,3.477430725,1.00
72,247.25,0.975,135.75,12.76,6.9425,23.425,1600,722.5,60.76,0.3375,0.165,0.845,0.9225,45.645,49.25,118.25,61.8125,0.497395833,30.74322917,31.06927083,836.4083488,1.53125,2.734375,3.184302689,4.349347629,0.74
80,244.125,0.9,148,12.91,6.95,30.175,1536.375,735,72.30375,0.3825,0.19,0.905,1.1025,55.76375,50.25,140.125,61.03125,0.511111111,31.18949653,29.84175347,862.5525513,0.729166667,2.9296875,2.273416966,4.749199324,0.69
95,237.3333333,0.9,157.3333333,22.86666667,6.95,33.26666667,1096.5,769.8333333,95.995,0.538333333,0.26,1.01,1.488333333,77.54333333,52,185,59.33333333,0.531944444,31.56087963,27.7724537,913.9938983,2.003968254,1.976190476,3.090029684,3.24860102,0.50
102,232.4285714,0.9,169.7142857,22.02285714,6.95,46.84285714,1107.142857,771.2857143,103.23,0.542857143,0.265714286,1.01,1.618571429,84.69857143,52,198.7142857,58.10714286,0.541666667,31.46815476,26.6389881,930.4013271,0.363265306,1.720408163,1.277676515,2.885758589,0.48
120,217.4,0.9,176.4,25.348,6.95,51.62,1004.6,788,117.84,0.624,0.302,0.988,1.91,99.6,52,226.4,54.35,0.566666667,30.75166667,23.59833333,963.59299,0.32,0.72,0.669285714,1.185714286,0.46
140,198.7333333,0.9,184.4,19.97466667,6.95,52.68666667,999.9333333,798,127.34,0.637333333,0.308666667,0.914666667,2.11,109.5,52,244.4,49.68333333,0.594444444,29.50027778,20.18305556,983.96799,0.053333333,0.12,0.111547619,0.197619048,0.46
