Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.16,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.04,0.05,0.002,0.038,600,0,0,0,0,5.00
5,2.963333333,0,0,26.06083333,5.968333333,68.73333333,532.8333333,581.5,0,0,0,0,0,0,0.25,0.25,0.740833333,0.075,0.067272917,0.673560417,597.6920849,0.119814815,0.550925926,0.210683777,0.635193897,4.98
10,19.99666667,0,0,13.36916667,5.951666667,28.06666667,861.1666667,569,0,0,0,0,0,0,2.75,2.75,4.999166667,0.1,0.511627083,4.487539583,597.6920849,1.317962963,1.060185185,2.317521544,1.987132865,4.87
23,110.8666667,4.62962963,17.97222222,2.025925926,6.875925926,21.31481481,1547.703704,579.4722222,7.435185185,0.12037037,0.055555556,0.305555556,0.240740741,4.314814815,16.88888889,16.88888889,27.71666667,0.165,4.684708333,23.03195833,623.9626249,3.299917695,0.699588477,5.526150435,2.06434925,2.97
28,150,3.222222222,33.20555556,1.495555556,6.941111111,22.07777778,1600,581.5388889,9.461111111,0.121111111,0.06,0.338888889,0.242222222,5.611111111,23.33333333,20.66666667,37.5,0.19,7.145,30.355,640.9048342,2.847971781,1.470899471,5.310216381,2.92404912,2.59
34,223.1428571,4.178571429,50.18071429,2.331428571,6.94,26.75714286,1600,591.0378571,14.29142857,0.135714286,0.067857143,0.418571429,0.247857143,8.692142857,35,29.64285714,55.78571429,0.284821429,16.32419643,39.46151786,664.4356846,4.009840816,3.856734694,8.236189155,7.161504408,2.06
47.5,250.64,3.252,106.5064,3.9612,6.8824,26.368,1600,679.1164,44.4752,0.2744,0.1276,0.9296,0.5668,30.7928,53.36,85.76,62.66,0.4204,26.3522,36.3078,772.4699884,2.702802286,2.647771429,6.007280282,5.398695116,1.46
55,246,2.5,127.12,16.38,6.94,24.8,1600,565.62,55.36,0.31,0.15,1.01,0.82,38.66,47,106,61.5,0.446875,27.4828125,34.0171875,818.396923,2.225882353,3.058823529,4.727936362,5.455310759,1.23
72,235,2.5,164.96,12.43,6.95,24.4,1600,631.96,83.32,0.38,0.18,1.16,1.21,60.84,50,158,58.75,0.5,29.375,29.375,901.672124,0.510526316,0.842105263,0.952126485,1.273797319,1.12
80,225.7368421,1.657894737,169.0442105,17.53315789,6.95,24.4,1600,626.1494737,86.94105263,0.396842105,0.188421053,1.092631579,1.294210526,63.66947368,49.15789474,164.7368421,56.43421053,0.511111111,28.83932749,27.59488304,908.6584618,0.982533193,1.87525074,2.157646249,3.112376687,1.03
95,202.5862069,0.848275862,184.2689655,12.55,6.95,24.5862069,1600,646.7344828,102.6468966,0.427931034,0.20862069,1.08,1.626551724,77.05758621,47.13793103,193.9310345,50.64655172,0.531944444,26.93371648,23.71283525,946.4290857,0.675933413,1.384066587,1.446843533,2.209879424,0.92
102,201.8461538,0.8,189.2207692,14.37692308,6.95,24.93846154,1569.230769,640.3746154,107.6838462,0.441538462,0.220769231,1.053076923,1.711538462,81.38692308,47.07692308,203.3076923,50.46153846,0.541666667,27.32612179,23.13541667,957.5107141,0.647140039,0.865631164,1.142648314,1.40620068,0.87
120,188,0.8,200.87,16.26,6.95,26.6,1200,644.87,116.13,0.46,0.23,0.97,1.85,88.79,48,219,47,0.566666667,26.63333333,20.36666667,976.2739905,0.646666667,0.791666667,1.103915065,1.294578625,0.76
140,173.8333333,0.8,213.8033333,16.685,6.95,24.26666667,1200,651.1366667,124.6466667,0.476666667,0.23,0.895,2.058333333,96.52333333,47.16666667,234.8333333,43.45833333,0.594444444,25.81388889,17.64444444,995.4771976,0.107777778,0.131944444,0.183985844,0.215763104,0.75
