Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.16,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.04,0.05,0.002,0.038,600,0,0.2,0,-0.107712082,5.00
5,1.562,0,0,24,6.2,85,500,583.5,0,0,0,0,0,0,0,1,0.3905,0.075,0.0292875,0.3612125,598.4614396,8.88E-16,0,0,-0.513239188,4.99
10,14.32,0.857142857,4.714285714,14.52571429,6.949285714,56.25714286,1041.857143,572.1428571,1.265,0.012857143,0.006428571,0.055,0.069285714,0.816428571,1.785714286,3.5,3.58,0.1,0.42885,3.15115,603.2787938,5.353741497,2.75,10.41140253,5.470809456,4.72
23,71,12,66,24.48,6.94,28.4,1599,645.5,17.71,0.18,0.09,0.77,0.97,11.43,12,36,17.75,0.165,2.92875,14.82125,692.5928361,13.66666667,6,26.682482,12.56872924,2.60
28,171.5,14,126.5,28.26,6.94,21.75,1599,707.5,31.96,0.205,0.1,1.135,0.695,23.175,34.5,62.5,42.875,0.19,8.2275,34.6475,778.9035537,8.983695652,2.711956522,17.54278357,6.113939943,0.91
34,214.7826087,9.652173913,178.8695652,29.6226087,6.94,24.37826087,1599,742.5652174,39.05521739,0.201304348,0.096521739,1.174782609,0.642608696,30.6,47.13043478,75.69565217,53.69565217,0.241847826,13.52201087,40.1736413,847.0350405,7.261709725,1.298256669,14.28588294,3.380805283,0.29
47.5,251.173913,8.47826087,289.8043478,38.47391304,6.94,28.0173913,1599,795.0978261,47.57782609,0.171956522,0.084782609,1.022173913,0.718913043,41.94,57.69565217,91.54347826,62.79347826,0.383084239,24.73379755,38.05968071,983.9736504,4.036284394,1.717916404,8.280648278,3.080808062,0.11
55,265.8888889,7.333333333,340.4444444,42.20444444,6.94,28.7,1599,823.0555556,53.08222222,0.164444444,0.082222222,0.962222222,0.766666667,48.75888889,63.22222222,101.7777778,66.47222222,0.446875,29.70338542,36.76883681,1048.126549,2.510662177,1.860830527,5.457044317,2.880487836,0.07
72,264.5454545,1.890909091,384.8181818,42.04,6.940909091,22.80909091,1599,867,70.22,0.200909091,0.1,0.978181818,0.92,67.17363636,72.45454545,133.6363636,66.13636364,0.498421717,32.9620423,33.17432134,1117.27328,0.813731723,1.564526383,2.362709729,2.157055581,0.05
80,260.9090909,1.018181818,391.3636364,32.76,6.948181818,26.88181818,1599,799,77.26,0.208181818,0.1,0.963636364,1.08,73.76272727,68.09090909,146.7272727,65.22727273,0.510795455,33.31463068,31.91264205,1135.209109,0.77813096,0.989828353,1.737753,1.367942274,0.04
95,261,0.8,403,33.2,6.95,23.7,1599,781.5,84.93,0.22,0.11,0.89,1.19,81.18,68,161,65.25,0.531944444,34.709375,30.540625,1154.471377,0.888888889,2.444444444,2.886456101,3.333872181,0.02
102,247.7777778,0.8,409.2222222,31.64444444,6.95,24.16666667,1599,789.6666667,94.13888889,0.243333333,0.117777778,0.921111111,1.345555556,90.15555556,66.44444444,178.1111111,61.94444444,0.541666667,33.54405864,28.4003858,1174.680342,0.852501624,1.034437947,1.826098144,1.473985687,0.02
120,221.2631579,0.8,424.4736842,38.27368421,6.95,27.33157895,1599,794.9473684,102.2015789,0.258421053,0.128421053,0.854210526,1.482631579,98.54736842,66,193.1052632,55.31578947,0.566666667,31.32192982,23.99385965,1196.327037,0.806648199,0.310249307,1.239323449,0.50614796,0.01
140,203.4,0.8,440.6,46.995,6.95,23.395,1107.7,792.1,105.5065,0.2685,0.13,0.755,1.636,102.411,62.6,199.25,50.85,0.594444444,30.21333333,20.63666667,1208.830364,0.63,0.2075,0.867085823,0.314394117,0.00
